,Country,Rank,lifeSatisfaction,Support,GDP,Health,Freedom,Generosity,Corruption,Year
298,Angola,141,3.866,0.66366,0.84731,0.04991,0.00589,0.08434,0.12071,2016
299,Niger,142,3.856,0.6053,0.1327,0.26162,0.38041,0.17176,0.2097,2016
300,South Sudan,143,3.832,0.18519,0.39394,0.15781,0.19662,0.13015,0.25899,2016
301,Chad,144,3.763,0.63178,0.42214,0.03824,0.12807,0.04952,0.18667,2016
302,Burkina Faso,145,3.739,0.63054,0.31995,0.21297,0.3337,0.12533,0.24353,2016
303,Uganda,145,3.739,0.90981,0.34719,0.19625,0.43653,0.06442,0.27102,2016
304,Yemen,147,3.724,0.47493,0.57939,0.31048,0.2287,0.05892,0.09821,2016
305,Madagascar,148,3.695,0.46115,0.27954,0.37109,0.13684,0.07506,0.2204,2016
306,Tanzania,149,3.666,0.77623,0.47155,0.357,0.3176,0.05099,0.31472,2016
307,Liberia,150,3.622,0.50353,0.10706,0.23165,0.25748,0.04852,0.24063,2016
308,Guinea,151,3.607,0.3109,0.22415,0.18829,0.30953,0.1192,0.29914,2016
309,Rwanda,152,3.515,0.61586,0.32846,0.31865,0.5432,0.50521,0.23552,2016
310,Benin,153,3.484,0.10419,0.39499,0.21028,0.39747,0.06681,0.2018,2016
311,Afghanistan,154,3.36,0.11037,0.38227,0.17344,0.1643,0.07112,0.31268,2016
312,Togo,155,3.303,0.0,0.28123,0.24811,0.34678,0.11587,0.17517,2016
313,Syria,156,3.069,0.14866,0.74719,0.62994,0.06912,0.17233,0.48397,2016
314,Burundi,157,2.905,0.23442,0.06831,0.15747,0.0432,0.09419,0.2029,2016
315,Norway,1,7.53700017929077,1.53352355957031,1.61646318435669,0.796666502952576,0.635422587394714,0.36201223731041,0.315963834524155,2017
316,Denmark,2,7.52199983596802,1.55112159252167,1.48238301277161,0.792565524578094,0.626006722450256,0.355280488729477,0.40077006816864,2017
317,Iceland,3,7.50400018692017,1.6105740070343,1.480633020401,0.833552122116089,0.627162635326385,0.475540220737457,0.153526559472084,2017
318,Switzerland,4,7.49399995803833,1.51691174507141,1.56497955322266,0.858131289482117,0.620070576667786,0.290549278259277,0.367007285356522,2017
319,Finland,5,7.4689998626709,1.5402467250824,1.44357192516327,0.80915766954422,0.617950856685638,0.24548277258873,0.38261154294014,2017
320,Netherlands,6,7.3769998550415,1.42893922328949,1.50394463539124,0.810696125030518,0.585384488105774,0.470489829778671,0.282661825418472,2017
321,Canada,7,7.31599998474121,1.48134899139404,1.47920441627502,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,2017
322,New Zealand,8,7.31400012969971,1.54819512367249,1.40570604801178,0.816759705543518,0.614062130451202,0.500005125999451,0.382816702127457,2017
323,Sweden,9,7.28399991989136,1.47816216945648,1.49438726902008,0.830875158309937,0.612924098968506,0.385399252176285,0.384398728609085,2017
324,Australia,10,7.28399991989136,1.51004195213318,1.484414935112,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,2017
325,Israel,11,7.21299982070923,1.37628996372223,1.37538242340088,0.83840399980545,0.405988603830338,0.330082654953003,0.0852421000599861,2017
326,Costa Rica,12,7.0789999961853,1.41640365123749,1.10970628261566,0.759509265422821,0.580131649971008,0.214613229036331,0.100106589496136,2017
327,Austria,13,7.00600004196167,1.4599449634552,1.48709726333618,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,2017
328,United States,14,6.99300003051758,1.41992056369781,1.54625928401947,0.77428662776947,0.505740523338318,0.392578780651093,0.135638788342476,2017
329,Ireland,15,6.97700023651123,1.55823111534119,1.53570663928986,0.80978262424469,0.573110342025757,0.42785832285881,0.29838815331459,2017
330,Germany,16,6.95100021362305,1.47252035140991,1.48792338371277,0.798950731754303,0.562511384487152,0.336269170045853,0.276731938123703,2017
331,Belgium,17,6.89099979400635,1.46231269836426,1.46378076076508,0.818091869354248,0.539770722389221,0.231503337621689,0.251343131065369,2017
332,Luxembourg,18,6.86299991607666,1.45758366584778,1.74194359779358,0.845089495182037,0.59662789106369,0.283180981874466,0.31883442401886,2017
333,United Kingdom,19,6.71400022506714,1.49646008014679,1.44163393974304,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662,2017
334,Chile,20,6.65199995040894,1.28402495384216,1.25278460979462,0.819479703903198,0.376895278692245,0.326662421226501,0.0822879821062088,2017
335,United Arab Emirates,21,6.64799976348877,1.26641023159027,1.62634336948395,0.726798236370087,0.60834527015686,0.3609419465065,0.324489563703537,2017
336,Brazil,22,6.63500022888184,1.43130600452423,1.10735321044922,0.616552352905273,0.437453746795654,0.16234989464283,0.111092761158943,2017
337,Czech Republic,23,6.60900020599365,1.43388521671295,1.35268235206604,0.754444003105164,0.490946173667908,0.0881067588925362,0.0368729270994663,2017
338,Argentina,24,6.59899997711182,1.44045114517212,1.18529546260834,0.695137083530426,0.494519203901291,0.109457060694695,0.059739887714386,2017
339,Mexico,25,6.57800006866455,1.210862159729,1.15318381786346,0.709978997707367,0.412730008363724,0.120990432798862,0.132774114608765,2017
340,Singapore,26,6.57200002670288,1.35381436347961,1.69227766990662,0.949492394924164,0.549840569496155,0.345965981483459,0.46430778503418,2017
341,Malta,27,6.52699995040894,1.48841166496277,1.34327983856201,0.821944236755371,0.588767051696777,0.574730575084686,0.153066068887711,2017
342,Uruguay,28,6.4539999961853,1.41222786903381,1.21755969524384,0.719216823577881,0.57939225435257,0.175096929073334,0.178061872720718,2017
343,Guatemala,29,6.4539999961853,1.25558519363403,0.872001945972443,0.540239989757538,0.531310617923737,0.283488392829895,0.0772232785820961,2017
344,Panama,30,6.4520001411438,1.37319254875183,1.23374843597412,0.706156134605408,0.550026834011078,0.21055693924427,0.070983923971653,2017
345,France,31,6.44199991226196,1.38777685165405,1.43092346191406,0.844465851783752,0.470222115516663,0.129762306809425,0.172502428293228,2017
346,Thailand,32,6.42399978637695,1.42579245567322,1.12786877155304,0.647239029407501,0.580200731754303,0.572123110294342,0.0316127352416515,2017
347,Taiwan Province of China,33,6.42199993133545,1.38456535339355,1.43362653255463,0.793984234333038,0.361466586589813,0.258360475301743,0.0638292357325554,2017
348,Spain,34,6.40299987792969,1.53209090232849,1.38439786434174,0.888960599899292,0.408781230449677,0.190133571624756,0.0709140971302986,2017
349,Qatar,35,6.375,1.27429687976837,1.87076568603516,0.710098087787628,0.604130983352661,0.330473870038986,0.439299255609512,2017
350,Colombia,36,6.35699987411499,1.4021829366684,1.07062232494354,0.595027923583984,0.477487415075302,0.149014472961426,0.0466687418520451,2017
351,Saudi Arabia,37,6.3439998626709,1.28667759895325,1.53062355518341,0.590148329734802,0.449750572443008,0.147616013884544,0.27343225479126,2017
352,Trinidad and Tobago,38,6.16800022125244,1.3802285194397,1.36135590076447,0.519983291625977,0.518630743026733,0.325296461582184,0.0089648161083459,2017
353,Kuwait,39,6.10500001907349,1.25969874858856,1.63295245170593,0.632105708122253,0.496337592601776,0.228289797902107,0.215159550309181,2017
354,Slovakia,40,6.09800004959106,1.50505924224854,1.32539355754852,0.712732911109924,0.295817464590073,0.136544480919838,0.0242108516395092,2017
355,Bahrain,41,6.08699989318848,1.32311046123505,1.48841226100922,0.653133034706116,0.536746919155121,0.172668486833572,0.257042169570923,2017
356,Malaysia,42,6.08400011062622,1.28464603424072,1.29121541976929,0.618784427642822,0.402264982461929,0.416608929634094,0.0656007081270218,2017
357,Nicaragua,43,6.07100009918213,1.28721570968628,0.737299203872681,0.653095960617065,0.447551846504211,0.301674216985703,0.130687981843948,2017
358,Ecuador,44,6.00799989700317,1.28616881370544,1.00082039833069,0.685636222362518,0.4551981985569,0.150112465023994,0.140134647488594,2017
359,El Salvador,45,6.00299978256226,1.18212509155273,0.909784495830536,0.596018552780151,0.432452529668808,0.0782579854130745,0.0899809598922729,2017
360,Poland,46,5.97300004959106,1.44571197032928,1.29178786277771,0.699475347995758,0.520342111587524,0.158465966582298,0.0593078061938286,2017
361,Uzbekistan,47,5.97100019454956,1.54896914958954,0.786441087722778,0.498272627592087,0.658248662948608,0.415983647108078,0.246528223156929,2017
362,Italy,48,5.96400022506714,1.44492328166962,1.39506661891937,0.853144347667694,0.256450712680817,0.17278964817524,0.0280280914157629,2017
363,Russia,49,5.96299982070923,1.46928238868713,1.28177809715271,0.547349333763123,0.373783111572266,0.0522638224065304,0.0329628810286522,2017
364,Belize,50,5.95599985122681,1.08141779899597,0.907975316047668,0.450191766023636,0.547509372234344,0.240015640854836,0.0965810716152191,2017
365,Japan,51,5.92000007629395,1.43633782863617,1.41691517829895,0.913475871086121,0.505625545978546,0.12057276815176,0.163760736584663,2017
366,Lithuania,52,5.90199995040894,1.47351610660553,1.31458234786987,0.62894994020462,0.234231784939766,0.010164656676352,0.0118656428530812,2017
367,Algeria,53,5.87200021743774,1.1462174654007,1.09186446666718,0.617584645748138,0.233335807919502,0.0694366469979286,0.146096110343933,2017
368,Latvia,54,5.84999990463257,1.40471494197845,1.26074862480164,0.638566970825195,0.325707912445068,0.153074786067009,0.0738427266478539,2017
369,South Korea,55,5.83799982070923,1.12827444076538,1.40167844295502,0.900214076042175,0.257921665906906,0.206674367189407,0.0632826685905457,2017
370,Moldova,56,5.83799982070923,1.25182557106018,0.728870630264282,0.589465200901031,0.240729048848152,0.208779126405716,0.0100912861526012,2017
371,Romania,57,5.82499980926514,1.15009129047394,1.21768391132355,0.685158312320709,0.457003742456436,0.133519917726517,0.00438790069893,2017
372,Bolivia,58,5.82299995422363,1.22761905193329,0.833756566047668,0.473630249500275,0.558732926845551,0.22556072473526,0.0604777261614799,2017
373,Turkmenistan,59,5.82200002670288,1.49314916133881,1.13077676296234,0.437726080417633,0.41827192902565,0.24992498755455,0.259270340204239,2017
374,Kazakhstan,60,5.81899976730347,1.38436901569366,1.28455626964569,0.606041550636292,0.437454283237457,0.201964423060417,0.119282886385918,2017
375,North Cyprus,61,5.80999994277954,1.18630337715149,1.3469113111496,0.834647238254547,0.471203625202179,0.266845703125,0.155353352427483,2017
376,Slovenia,62,5.75799989700317,1.45251882076263,1.3412059545517,0.790828227996826,0.572575807571411,0.242649093270302,0.0451289787888527,2017
377,Peru,63,5.71500015258789,1.21877038478851,1.03522527217865,0.630166113376617,0.450002878904343,0.126819714903831,0.0470490865409374,2017
378,Mauritius,64,5.62900018692017,1.20956099033356,1.18939554691315,0.638007462024689,0.491247326135635,0.360933750867844,0.0421815551817417,2017
379,Cyprus,65,5.62099981307983,1.13136327266693,1.35593807697296,0.84471470117569,0.355111539363861,0.271254301071167,0.0412379764020443,2017
380,Estonia,66,5.61100006103516,1.47667109966278,1.32087934017181,0.695168316364288,0.479131430387497,0.0988908112049103,0.183248922228813,2017
381,Belarus,67,5.56899976730347,1.44494521617889,1.15655755996704,0.637714266777039,0.295400261878967,0.15513750910759,0.156313821673393,2017
382,Libya,68,5.52500009536743,1.35756433010101,1.10180306434631,0.520169019699097,0.465733230113983,0.152073666453362,0.0926102101802826,2017
383,Turkey,69,5.5,1.33775317668915,1.19827437400818,0.637605607509613,0.300740599632263,0.0466930419206619,0.0996715798974037,2017
384,Paraguay,70,5.49300003051758,1.50728487968445,0.932537317276001,0.579250693321228,0.473507791757584,0.224150657653809,0.091065913438797,2017
385,"Hong Kong S.A.R., China",71,5.47200012207031,1.26279091835022,1.55167484283447,0.943062424659729,0.490968644618988,0.374465793371201,0.293933749198914,2017
386,Philippines,72,5.42999982833862,1.25391757488251,0.85769921541214,0.468009054660797,0.585214674472809,0.193513423204422,0.0993318930268288,2017
387,Serbia,73,5.39499998092651,1.25818979740143,1.06931757926941,0.65078467130661,0.208715528249741,0.220125883817673,0.0409037806093693,2017
388,Jordan,74,5.33599996566772,1.23908889293671,0.991012394428253,0.604590058326721,0.418421149253845,0.172170460224152,0.11980327218771,2017
389,Hungary,75,5.32399988174438,1.34313309192657,1.2860119342804,0.687763452529907,0.175863519310951,0.0784016624093056,0.0366369374096394,2017
390,Jamaica,76,5.31099987030029,1.36821806430817,0.925579309463501,0.641022384166718,0.474307239055634,0.233818337321281,0.0552677810192108,2017
391,Croatia,77,5.29300022125244,0.96798300743103,1.22255623340607,0.701288521289825,0.255772292613983,0.248002976179123,0.0431031100451946,2017
392,Kosovo,78,5.27899980545044,1.13785350322723,0.951484382152557,0.541452050209045,0.260287940502167,0.319931447505951,0.0574716180562973,2017
393,China,79,5.27299976348877,1.16083741188049,1.08116579055786,0.741415500640869,0.472787708044052,0.0288068410009146,0.0227942746132612,2017
394,Pakistan,80,5.26900005340576,0.672690689563751,0.72688353061676,0.402047783136368,0.23521526157856,0.315446019172668,0.124348066747189,2017
395,Indonesia,81,5.26200008392334,1.27444469928741,0.995538592338562,0.492345720529556,0.443323463201523,0.611704587936401,0.0153171354904771,2017
396,Venezuela,82,5.25,1.43133759498596,1.12843120098114,0.617144227027893,0.153997123241425,0.0650196298956871,0.0644911229610443,2017
397,Montenegro,83,5.23699998855591,1.23837649822235,1.12112903594971,0.667464673519135,0.194989055395126,0.197911024093628,0.0881741940975189,2017
398,Morocco,84,5.2350001335144,0.774864435195923,0.878114581108093,0.59771066904068,0.408158332109451,0.0322099551558495,0.0877631828188896,2017
399,Azerbaijan,85,5.23400020599365,1.15240025520325,1.15360176563263,0.540775775909424,0.398155838251114,0.0452693402767181,0.180987507104874,2017
400,Dominican Republic,86,5.23000001907349,1.40241670608521,1.07937383651733,0.574873745441437,0.55258983373642,0.186967849731445,0.113945253193378,2017
401,Greece,87,5.22700023651123,1.23941457271576,1.28948748111725,0.810198903083801,0.0957312509417534,0.0,0.04328977689147,2017
402,Lebanon,88,5.22499990463257,1.12962424755096,1.07498753070831,0.735081076622009,0.288515985012054,0.264450758695602,0.037513829767704,2017
403,Portugal,89,5.19500017166138,1.36704301834106,1.3151752948761,0.795843541622162,0.498465299606323,0.0951027125120163,0.0158694516867399,2017
404,Bosnia and Herzegovina,90,5.18200016021729,1.0693359375,0.982409417629242,0.705186307430267,0.204403176903725,0.328867495059967,0.0,2017
405,Honduras,91,5.18100023269653,1.14394497871399,0.730573117733002,0.582569479942322,0.348079860210419,0.236188873648643,0.0733454525470734,2017
406,Macedonia,92,5.17500019073486,1.20789301395416,1.06457793712616,0.644948184490204,0.325905978679657,0.25376096367836,0.0602777935564518,2017
407,Somalia,93,5.15100002288818,0.721151351928711,0.0226431842893362,0.113989137113094,0.602126955986023,0.291631311178207,0.282410323619843,2017
408,Vietnam,94,5.07399988174438,1.27749133110046,0.788547575473785,0.652168989181519,0.571055591106415,0.234968051314354,0.0876332372426987,2017
409,Nigeria,95,5.07399988174438,1.21577048301697,0.783756256103516,0.0569157302379608,0.394952565431595,0.230947196483612,0.0261215660721064,2017
410,Tajikistan,96,5.04099988937378,1.27146327495575,0.524713635444641,0.529235124588013,0.471566706895828,0.248997643589973,0.146377146244049,2017
411,Bhutan,97,5.01100015640259,1.34012651443481,0.885416388511658,0.495879292488098,0.501537680625916,0.474054545164108,0.173380389809608,2017
412,Kyrgyzstan,98,5.00400018692017,1.39423859119415,0.596220076084137,0.553457796573639,0.454943388700485,0.42858037352562,0.0394391790032387,2017
413,Nepal,99,4.96199989318848,1.17928326129913,0.479820191860199,0.504130780696869,0.440305948257446,0.394096165895462,0.0729755461215973,2017
414,Mongolia,100,4.95499992370605,1.4930112361908,1.02723586559296,0.557783484458923,0.394143968820572,0.338464230298996,0.0329022891819477,2017
415,South Africa,101,4.8289999961853,1.38478863239288,1.05469870567322,0.187080070376396,0.479246735572815,0.139362379908562,0.0725094974040985,2017
416,Tunisia,102,4.80499982833862,0.868351459503174,1.00726580619812,0.613212049007416,0.289680689573288,0.0496933571994305,0.0867231488227844,2017
417,Palestinian Territories,103,4.77500009536743,1.15564715862274,0.716249227523804,0.565666973590851,0.25471106171608,0.114173173904419,0.0892826020717621,2017
418,Egypt,104,4.7350001335144,0.997471392154694,0.989701807498932,0.520187258720398,0.282110154628754,0.128631442785263,0.114381365478039,2017
419,Bulgaria,105,4.71400022506714,1.43437945842743,1.1614590883255,0.708217680454254,0.289231717586517,0.113177694380283,0.0110515309497714,2017
420,Sierra Leone,106,4.70900011062622,0.984136044979095,0.36842092871666,0.0055647538974881,0.318697690963745,0.293040901422501,0.0710951760411263,2017
421,Cameroon,107,4.69500017166138,0.946018218994141,0.564305365085602,0.132892116904259,0.430388748645782,0.236298456788063,0.0513066314160824,2017
422,Iran,108,4.69199991226196,0.711551249027252,1.15687310695648,0.639333188533783,0.249322608113289,0.387242913246155,0.048761073499918,2017
423,Albania,109,4.64400005340576,0.803685247898102,0.996192753314972,0.731159746646881,0.381498634815216,0.201312944293022,0.0398642159998417,2017
424,Bangladesh,110,4.60799980163574,0.735131740570068,0.586682975292206,0.533241033554077,0.478356659412384,0.172255352139473,0.123717859387398,2017
425,Namibia,111,4.57399988174438,1.0984708070755,0.964434325695038,0.33861181139946,0.520303547382355,0.0771337449550629,0.0931469723582268,2017
426,Kenya,112,4.55299997329712,1.06795072555542,0.560479462146759,0.309988349676132,0.452763766050339,0.444860309362411,0.0646413192152977,2017
427,Mozambique,113,4.55000019073486,0.870701014995575,0.234305649995804,0.106654435396194,0.480791091918945,0.322228103876114,0.179436385631561,2017
428,Myanmar,114,4.54500007629395,1.12323594093323,0.367110550403595,0.397522568702698,0.514492034912109,0.838075160980225,0.188816204667091,2017
429,Senegal,115,4.53499984741211,1.17969191074371,0.479309022426605,0.409362852573395,0.377922266721725,0.183468893170357,0.115460447967052,2017
430,Zambia,116,4.51399993896484,1.00318729877472,0.636406779289246,0.257835894823074,0.461603492498398,0.249580144882202,0.0782135501503944,2017
431,Iraq,117,4.49700021743774,0.978613197803497,1.10271048545837,0.501180469989777,0.288555532693863,0.19963726401329,0.107215754687786,2017
432,Gabon,118,4.46500015258789,1.1556202173233,1.1982102394104,0.356578588485718,0.312328577041626,0.0437853783369064,0.0760467872023582,2017
433,Ethiopia,119,4.46000003814697,0.86466920375824,0.339233845472336,0.353409707546234,0.408842742443085,0.312650740146637,0.165455713868141,2017
434,Sri Lanka,120,4.44000005722046,1.25997638702393,1.00985014438629,0.625130832195282,0.561213254928589,0.490863561630249,0.0736539661884308,2017
435,Armenia,121,4.37599992752075,1.00748372077942,0.900596737861633,0.637524425983429,0.198303267359734,0.0834880918264389,0.0266744215041399,2017
436,India,122,4.31500005722046,0.754372596740723,0.792221248149872,0.455427616834641,0.469987004995346,0.231538489460945,0.0922268852591515,2017
437,Mauritania,123,4.29199981689453,1.2720308303833,0.648457288742065,0.285349279642105,0.0960980430245399,0.201870024204254,0.136957004666328,2017
438,Congo (Brazzaville),124,4.29099988937378,0.832044363021851,0.808964252471924,0.28995743393898,0.435025870800018,0.120852127671242,0.0796181336045265,2017
439,Georgia,125,4.28599977493286,0.57061493396759,0.950612664222717,0.649546980857849,0.309410035610199,0.0540088154375553,0.251666635274887,2017
440,Congo (Kinshasa),126,4.28000020980835,1.22902345657349,0.0921023488044739,0.191407024860382,0.235961347818375,0.246455833315849,0.0602413564920425,2017
441,Mali,127,4.19000005722046,1.28147339820862,0.476180493831635,0.169365674257278,0.306613743305206,0.183354198932648,0.104970246553421,2017
442,Ivory Coast,128,4.17999982833862,0.904780030250549,0.603048920631409,0.0486421696841717,0.447706192731857,0.201237469911575,0.130061775445938,2017
443,Cambodia,129,4.16800022125244,1.00623834133148,0.601765096187592,0.429783403873444,0.633375823497772,0.385922968387604,0.0681059509515762,2017
444,Sudan,130,4.13899993896484,1.21400856971741,0.65951669216156,0.290920823812485,0.0149958552792668,0.182317450642586,0.089847519993782,2017
445,Ghana,131,4.11999988555908,0.873664736747742,0.667224824428558,0.295637726783752,0.423026293516159,0.256923943758011,0.0253363698720932,2017
446,Ukraine,132,4.09600019454956,1.39453756809235,0.89465194940567,0.575903952121735,0.122974775731564,0.270061463117599,0.0230294708162546,2017
447,Uganda,133,4.08099985122681,1.12982773780823,0.381430715322495,0.217632606625557,0.443185955286026,0.325766056776047,0.057069718837738,2017
448,Burkina Faso,134,4.03200006484985,1.04328000545502,0.3502277135849,0.215844258666039,0.324367851018906,0.250864684581757,0.120328105986118,2017
449,Niger,135,4.02799987792969,0.993025004863739,0.161925330758095,0.26850500702858,0.36365869641304,0.228673845529556,0.138572946190834,2017
450,Malawi,136,3.97000002861023,0.512568831443787,0.233442038297653,0.315089583396912,0.466914653778076,0.287170469760895,0.0727116540074348,2017
451,Chad,137,3.93600010871887,0.953855872154236,0.438012987375259,0.0411347150802612,0.16234202682972,0.216113850474358,0.0535818822681904,2017
452,Zimbabwe,138,3.875,1.08309590816498,0.375846534967422,0.196763753890991,0.336384207010269,0.189143493771553,0.0953753814101219,2017
453,Lesotho,139,3.80800008773804,1.19009518623352,0.521021246910095,0.0,0.390661299228668,0.157497271895409,0.119094640016556,2017
454,Angola,140,3.79500007629395,1.10441195964813,0.858428180217743,0.0498686656355858,0.0,0.097926490008831,0.0697203353047371,2017
455,Afghanistan,141,3.79399991035461,0.581543326377869,0.401477217674255,0.180746778845787,0.106179520487785,0.311870932579041,0.0611578300595284,2017
456,Botswana,142,3.76600003242493,1.22155499458313,1.12209415435791,0.341755509376526,0.505196332931519,0.0993484482169151,0.0985831990838051,2017
457,Benin,143,3.65700006484985,0.435299843549728,0.431085407733917,0.209930211305618,0.425962775945663,0.207948461174965,0.0609290152788162,2017
458,Madagascar,144,3.64400005340576,0.913020372390747,0.305808693170547,0.375223308801651,0.189196765422821,0.208732530474663,0.0672319754958153,2017
459,Haiti,145,3.6029999256134,0.640449821949005,0.368610262870789,0.277321130037308,0.0303698573261499,0.489203780889511,0.0998721495270729,2017
460,Yemen,146,3.59299993515015,0.93538224697113,0.591683447360992,0.310080915689468,0.249463722109795,0.104125209152699,0.0567674227058887,2017
461,South Sudan,147,3.59100008010864,0.601323127746582,0.39724862575531,0.163486003875732,0.147062435746193,0.285670816898346,0.116793513298035,2017
462,Liberia,148,3.53299999237061,0.872117936611176,0.119041793048382,0.229918196797371,0.332881182432175,0.26654988527298,0.0389482490718365,2017
463,Guinea,149,3.50699996948242,0.791244685649872,0.244549930095673,0.194129139184952,0.348587512969971,0.264815092086792,0.110937617719173,2017
464,Togo,150,3.49499988555908,0.431882530450821,0.305444717407227,0.247105568647385,0.38042613863945,0.196896150708199,0.0956650152802467,2017
465,Rwanda,151,3.47099995613098,0.945707023143768,0.368745893239975,0.326424807310104,0.581843852996826,0.252756029367447,0.455220013856888,2017
466,Syria,152,3.46199989318848,0.396102607250214,0.777153134346008,0.50053334236145,0.0815394446253777,0.493663728237152,0.151347130537033,2017
467,Tanzania,153,3.34899997711182,1.04198980331421,0.511135876178741,0.364509284496307,0.390017777681351,0.354256361722946,0.0660351067781448,2017
468,Burundi,154,2.90499997138977,0.629793584346771,0.091622568666935,0.151610791683197,0.0599007532000542,0.204435184597969,0.0841479450464249,2017
469,Central African Republic,155,2.69300007820129,0.0,0.0,0.0187726859003305,0.270842045545578,0.280876487493515,0.0565650761127472,2017
470,Finland,1,7.632,1.592,1.305,0.874,0.681,0.202,0.393,2018
471,Norway,2,7.594,1.582,1.456,0.861,0.686,0.286,0.34,2018
472,Denmark,3,7.555,1.59,1.351,0.868,0.683,0.284,0.408,2018
473,Iceland,4,7.495,1.644,1.343,0.914,0.677,0.353,0.138,2018
474,Switzerland,5,7.487,1.549,1.42,0.927,0.66,0.256,0.357,2018
475,Netherlands,6,7.441,1.488,1.361,0.878,0.638,0.333,0.295,2018
476,Canada,7,7.328,1.532,1.33,0.896,0.653,0.321,0.291,2018
477,New Zealand,8,7.324,1.601,1.268,0.876,0.669,0.365,0.389,2018
478,Sweden,9,7.314,1.501,1.355,0.913,0.659,0.285,0.383,2018
479,Australia,10,7.272,1.573,1.34,0.91,0.647,0.361,0.302,2018
480,United Kingdom,11,7.19,1.433,1.244,0.888,0.464,0.262,0.082,2018
481,Austria,12,7.139,1.504,1.341,0.891,0.617,0.242,0.224,2018
482,Costa Rica,13,7.072,1.459,1.01,0.817,0.632,0.143,0.101,2018
483,Ireland,14,6.977,1.583,1.448,0.876,0.614,0.307,0.306,2018
484,Germany,15,6.965,1.474,1.34,0.861,0.586,0.273,0.28,2018
485,Belgium,16,6.927,1.483,1.324,0.894,0.583,0.188,0.24,2018
486,Luxembourg,17,6.91,1.52,1.576,0.896,0.632,0.196,0.321,2018
487,United States,18,6.886,1.471,1.398,0.819,0.547,0.291,0.133,2018
488,Israel,19,6.814,1.559,1.301,0.883,0.533,0.354,0.272,2018
489,United Arab Emirates,20,6.774,0.776,2.096,0.67,0.284,0.186,0.1655364970563016,2018
490,Czech Republic,21,6.711,1.489,1.233,0.854,0.543,0.064,0.034,2018
491,Malta,22,6.627,1.525,1.27,0.884,0.645,0.376,0.142,2018
492,France,23,6.489,1.466,1.293,0.908,0.52,0.098,0.176,2018
493,Mexico,24,6.488,1.252,1.038,0.761,0.479,0.069,0.095,2018
494,Chile,25,6.476,1.331,1.131,0.808,0.431,0.197,0.061,2018
495,Taiwan,26,6.441,1.436,1.365,0.857,0.418,0.151,0.078,2018
496,Panama,27,6.43,1.438,1.112,0.759,0.597,0.125,0.063,2018
497,Brazil,28,6.419,1.474,0.986,0.675,0.493,0.11,0.088,2018
498,Argentina,29,6.388,1.468,1.073,0.744,0.57,0.062,0.054,2018
499,Guatemala,30,6.382,1.268,0.781,0.608,0.604,0.179,0.071,2018
500,Uruguay,31,6.379,1.459,1.093,0.771,0.625,0.13,0.155,2018
501,Qatar,32,6.374,1.303,1.649,0.748,0.654,0.256,0.171,2018
502,Saudi Arabia,33,6.371,1.331,1.379,0.633,0.509,0.098,0.127,2018
503,Singapore,34,6.343,1.451,1.529,1.008,0.631,0.261,0.457,2018
504,Malaysia,35,6.322,1.258,1.161,0.669,0.356,0.311,0.059,2018
505,Spain,36,6.31,1.538,1.251,0.965,0.449,0.142,0.074,2018
506,Colombia,37,6.26,1.439,0.96,0.635,0.531,0.099,0.039,2018
507,Trinidad & Tobago,38,6.192,1.492,1.223,0.564,0.575,0.171,0.019,2018
508,Slovakia,39,6.173,1.537,1.21,0.776,0.354,0.118,0.014,2018
509,El Salvador,40,6.167,1.231,0.806,0.639,0.461,0.065,0.082,2018
510,Nicaragua,41,6.141,1.319,0.668,0.7,0.527,0.208,0.128,2018
511,Poland,42,6.123,1.448,1.176,0.781,0.546,0.108,0.064,2018
512,Bahrain,43,6.105,1.366,1.338,0.698,0.594,0.243,0.123,2018
513,Uzbekistan,44,6.096,1.584,0.719,0.605,0.724,0.328,0.259,2018
514,Kuwait,45,6.083,1.301,1.474,0.675,0.554,0.167,0.106,2018
515,Thailand,46,6.072,1.417,1.016,0.707,0.637,0.364,0.029,2018
516,Italy,47,6.0,1.501,1.264,0.946,0.281,0.137,0.028,2018
517,Ecuador,48,5.973,1.33,0.889,0.736,0.556,0.114,0.12,2018
518,Belize,49,5.956,1.101,0.807,0.474,0.593,0.183,0.089,2018
519,Lithuania,50,5.952,1.527,1.197,0.716,0.35,0.026,0.006,2018
520,Slovenia,51,5.948,1.506,1.219,0.856,0.633,0.16,0.051,2018
521,Romania,52,5.945,1.219,1.116,0.726,0.528,0.088,0.001,2018
522,Latvia,53,5.933,1.454,1.148,0.671,0.363,0.092,0.066,2018
523,Japan,54,5.915,1.462,1.294,0.988,0.553,0.079,0.15,2018
524,Mauritius,55,5.891,1.387,1.09,0.684,0.584,0.245,0.05,2018
525,Jamaica,56,5.89,1.493,0.819,0.693,0.575,0.096,0.031,2018
526,South Korea,57,5.875,1.204,1.266,0.955,0.244,0.175,0.051,2018
527,Northern Cyprus,58,5.835,1.211,1.229,0.909,0.495,0.179,0.154,2018
528,Russia,59,5.81,1.479,1.151,0.599,0.399,0.065,0.025,2018
529,Kazakhstan,60,5.79,1.516,1.143,0.631,0.454,0.148,0.121,2018
